Stock,Market Cap and Buy Analysis,Buy Analysis,Volume Analysis Result,Volume Analysis 5 Days,Volume Analysis 20 Days,Volume Analysis 50 Days,MA Analysis,MA5,MA5 Symbol,MA10,MA10 Symbol,MA20,MA20 Symbol,MA50,MA50 Symbol,MA100,MA100 Symbol,MA200,MA200 Symbol,3D Change%,5D Change%,20D Change%,Yesterday Closing Price,Current Price,Volatility in 3 Day,Volatility in 5 Days,Volatility in 20 Days,Market Cap Value,Volume Average in 5 Days,Volume Average in 20 Days,Volume Average in 50 Days,Volume Average in 100 Days
ABBA.JK,149563817984.0,0,0.0,0.0,1.0,0.0,"['<', '<', '>', '>', '>', '<']",40.0,<,38.9,<,34.8,>,30.18,>,27.71,>,39.615,<,-7.317073170731707,-7.317073170731707,35.714285714285715,39.0,38.0,1.247219128924647,1.2649110640673518,4.456455991031438,149563817984.0,1379200.0,2100050.0,1173250.0,1011960.0
ABDA.JK,2514268192768.0,-5,0.0,0.0,0.0,0.0,"['=', '<', '<', '<', '<', '<']",4050.0,=,4095.0,<,4297.5,<,4519.0,<,4759.5,<,5109.75,<,0.0,0.0,-10.0,4050.0,4050.0,0.0,0.0,223.8721733489895,2514268192768.0,40.0,80.0,50.0,26.0
ABMM.JK,12058884046848.0,4,0.0,1.0,0.0,0.0,"['>', '>', '<', '>', '>', '>']",4336.0,>,4284.0,>,4412.0,<,4045.8,>,3844.5,>,3695.75,>,1.8604651162790697,1.6241299303944314,11.16751269035533,4390.0,4380.0,40.2768199119819,40.29888335921977,216.0925727552893,12058884046848.0,3988560.0,13954195.0,7518248.0,4936206.0
ACES.JK,15065952550912.0,6,1.0,2.0,0.0,1.0,"['>', '>', '>', '>', '>', '>']",857.0,>,815.0,>,777.0,>,769.2,>,808.0,>,811.25,>,0.0,9.316770186335404,19.727891156462583,900.0,880.0,9.428090415820634,37.36308338453881,54.71288696458998,15065952550912.0,91772480.0,72961970.0,57568396.0,49218516.0
ACRO.JK,274062852096.0,-2,0.0,1.0,0.0,0.0,"['<', '<', '<', '>', '<', '>']",80.8,<,80.5,<,79.45,<,78.84,>,82.58,<,73.92,>,-2.4691358024691357,-3.6585365853658534,-1.25,81.0,79.0,0.9428090415820634,0.9797958971132712,1.6874537030686203,274062852096.0,4328140.0,7724280.0,4397434.0,6546407.0
ACST.JK,1533699162112.0,1,0.0,0.0,0.0,0.0,"['=', '>', '<', '>', '>', '<']",121.0,=,120.7,>,122.2,<,115.96,>,110.82,>,124.59,<,1.680672268907563,-1.6260162601626018,-4.724409448818897,119.0,121.0,0.9428090415820634,1.7888543819998317,2.3579652245103193,1533699162112.0,5541460.0,7339580.0,11615814.0,10927535.0
ADCP.JK,1111110057984.0,-6,0.0,2.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",50.6,<,50.5,<,50.65,<,50.32,<,50.16,<,50.505,<,0.0,-1.9607843137254901,-1.9607843137254901,51.0,50.0,0.4714045207910317,0.4898979485566356,0.47696960070847283,1111110057984.0,3747980.0,9080580.0,9527408.0,4870266.0
ADES.JK,6164423639040.0,6,0.0,2.0,0.0,0.0,"['>', '>', '>', '>', '>', '>']",10065.0,>,10000.0,>,9967.5,>,9956.5,>,10002.25,>,9801.25,>,5.555555555555555,5.822784810126582,5.555555555555555,10225.0,10450.0,225.7702864024011,233.77339455121918,136.0376786041279,6164423639040.0,115020.0,48505.0,34612.0,39029.0
ADHI.JK,2370945941504.0,0,0.0,0.0,1.0,0.0,"['<', '<', '<', '>', '>', '>']",284.0,<,286.2,<,296.3,<,276.32,>,248.94,>,281.78,>,-0.7042253521126761,-1.3986013986013985,-6.0,278.0,282.0,2.494438257849294,4.0,12.349493916756265,2370945941504.0,29083580.0,65511680.0,69087076.0,53734452.0
ADMF.JK,11399999782912.0,0,0.0,5.0,0.0,0.0,"['>', '>', '>', '<', '<', '<']",11310.0,>,11272.5,>,11277.5,>,11449.5,<,11752.5,<,11835.625,<,1.1086474501108647,1.1086474501108647,-0.43668122270742354,11325.0,11400.0,51.370116691408136,48.98979485566356,90.1041064547005,11399999782912.0,48000.0,64155.0,74956.0,77983.0
