Stock,Market Cap and Buy Analysis,Buy Analysis,Volume Analysis Result,Volume Analysis 5 Days,Volume Analysis 20 Days,Volume Analysis 50 Days,MA Analysis,MA5,MA5 Symbol,MA10,MA10 Symbol,MA20,MA20 Symbol,MA50,MA50 Symbol,MA100,MA100 Symbol,MA200,MA200 Symbol,3D Change%,5D Change%,20D Change%,Yesterday Closing Price,Current Price,Volatility in 3 Day,Volatility in 5 Days,Volatility in 20 Days,Market Cap Value,Volume Average in 5 Days,Volume Average in 20 Days,Volume Average in 50 Days,Volume Average in 100 Days
ABBA.JK,118.08B,2,0.0,0.0,0.0,0.0,"['<', '>', '>', '>', '>', '<']",30.6,<,29.3,>,28.25,>,26.0,>,26.92,>,42.14,<,-3.225806451612903,3.4482758620689653,20.0,34.0,30.0,1.699673171197595,1.8547236990991407,1.7853571071357126,118.08B,1453120.0,769670.0,726578.0,1093560.0
ABDA.JK,2.79T,-3,0.0,0.0,0.0,0.0,"['=', '=', '=', '<', '<', '<']",4500.0,=,4500.0,=,4500.0,=,4730.0,<,4865.0,<,5227.5,<,0.0,0.0,0.0,4500.0,4500.0,0.0,0.0,0.0,2.79T,40.0,15.0,24.0,13.0
ABMM.JK,12.39T,4,1.0,0.0,0.0,1.0,"['<', '>', '>', '>', '>', '>']",4686.0,<,4280.0,>,4052.0,>,3846.8,>,3790.9,>,3638.95,>,-4.661016949152542,-3.225806451612903,19.047619047619047,4790.0,4500.0,123.55835328567092,104.80458005259122,372.7546109708101,12.39T,39367340.0,12694665.0,6369328.0,4752150.0
ACES.JK,13.61T,2,0.0,0.0,0.0,0.0,"['>', '>', '>', '>', '<', '<']",737.0,>,731.5,>,731.5,>,779.9,>,828.45,<,813.1,<,11.188811188811188,8.904109589041095,8.16326530612245,715.0,795.0,37.71236166328253,29.765752132274432,17.471405209656147,13.61T,80257100.0,59625075.0,45360692.0,46633619.0
ACRO.JK,270.59B,-3,0.0,1.0,0.0,0.0,"['<', '<', '=', '<', '<', '>']",78.4,<,78.9,<,78.0,=,80.0,<,84.13,<,68.335,>,0.0,-1.2658227848101267,4.0,78.0,78.0,0.0,0.4898979485566356,1.4142135623730951,270.59B,2651200.0,1907645.0,2474112.0,6780288.0
ACST.JK,1.57T,0,0.0,0.0,0.0,0.0,"['<', '<', '>', '>', '>', '<']",124.2,<,124.2,<,119.55,>,110.72,>,111.86,>,128.205,<,1.639344262295082,0.0,22.772277227722775,127.0,124.0,2.0548046676563256,1.5999999999999999,9.129485199067908,1.57T,11586800.0,22806375.0,13928942.0,10490859.0
ADCP.JK,1.13T,6,0.0,0.0,0.0,0.0,"['>', '>', '>', '>', '>', '>']",50.6,>,50.4,>,50.35,>,50.14,>,50.07,>,50.785,>,2.0,0.0,2.0,51.0,51.0,0.4714045207910317,0.4898979485566356,0.7262919523166975,1.13T,19147540.0,19967750.0,8157530.0,4189890.0
ADES.JK,5.88T,4,0.0,1.0,0.0,0.0,"['>', '>', '>', '<', '>', '>']",9925.0,>,9880.0,>,9882.5,>,10029.0,<,9908.25,>,9807.5,>,1.5267175572519083,0.5037783375314862,1.7857142857142856,10000.0,9975.0,77.28015412913086,61.237243569579455,74.20411039827916,5.88T,15040.0,13325.0,30858.0,35123.0
ADHI.JK,2.64T,6,0.0,0.0,0.0,0.0,"['>', '>', '>', '>', '>', '>']",306.8,>,301.8,>,289.6,>,259.14,>,246.76,>,289.58,>,3.289473684210526,6.081081081081082,31.932773109243694,318.0,314.0,5.887840577551898,8.059776671843954,23.728463919942225,2.64T,118657760.0,117341860.0,80425032.0,49550636.0
ADMF.JK,11.07T,-6,0.0,0.0,0.0,0.0,"['<', '<', '<', '<', '<', '<']",11290.0,<,11357.5,<,11372.5,<,11640.0,<,12010.25,<,11788.125,<,-2.6373626373626373,-1.991150442477876,-1.1160714285714286,11350.0,11075.0,135.91255358583408,110.22703842524301,137.13588151902476,11.07T,80240.0,68345.0,67888.0,133532.0
